Rank,Model,MAE,RMSE,MAPE,wMAPE,Bias,Fill_Rate,N_samples
1,xgb,1.81195456194287,3.566892502303357,13.184217746169043,10.15725387754096,0.4099854320290788,95.12636577724406,76376
2,lgbm,1.8141379414313605,3.579300400752588,13.368110009292792,10.16949322406841,0.18390815629113813,95.00720746611135,76376
3,ensemble,1.8324334140173881,3.7608441190021664,13.107996963046789,10.27205195471705,0.9059123735779346,95.31693020943044,76376
4,snaive,3.9653201700505187,7.399669942237941,31.46978545586207,22.228351923875074,3.1585345964642157,90.46509133629458,76376
5,seasonal_naive,3.9653201700505187,7.399669942237941,31.46978545586207,22.228351923875074,3.1585345964642157,90.46509133629458,76376
6,tft,6.691877947125408,13.709381280535645,49.7739150072471,37.51258704500201,-30.97123326848839,65.7580898432548,76376
7,nbeats,7.109691357120483,13.639371321362317,55.320127428770896,39.85471910940136,-8.19491727511927,75.97518180773969,76376
